student_id,age,gender,city,program,study_mode,learning_platform,attendance_percent,weekly_study_hours,assignment_score,quiz_score,previous_grade,forum_posts,project_submitted,passed
STU0001,23,other,Wroclaw,Informatics,part-time,Google Classroom,48,16.7,100,91.0,4.4,10,yes,yes
STU0002,24,female,Krakow,Management,part-time,Teams,43,4.6,48.9,9.3,4.6,4,no,no
STU0003,27,female,Gdansk,Management,part-time,Moodle,94,6.7,72.8,51.8,4.5,9,yes,yes
STU0004,23,other,Lodz,Finance,full-time,Moodle,57,4.9,74.0,58.4,3.8,10,no,yes
STU0005,26,male,Warsaw,Management,part-time,Teams,50,11.0,71.9,66.1,2.1,7,yes,yes
STU0006,20,female,Gdansk,Management,part-time,Teams,,4.8,57.2,48.7,4.4,8,yes,yes
STU0007,27,male,Lodz,Finance,full-time,Teams,67,8.0,100,52.7,4.1,8,no,yes
STU0008,28,female,Wroclaw,Management,part-time,Google Classroom,94,2.5,63.4,40.3,2.5,3,no,yes
STU0009,25,other,Wroclaw, informatics ,part-time,Google Classroom,69,3.5,60.9,52.6,3.2,0,yes,yes
STU0010,24,other,Warsaw,Data Analytics,full-time,Teams,86,2.2,82.2,65.7,2.8,9,yes,yes
STU0011,24,female,Warsaw,Economics,full-time,Teams,77,15.4,79.8,100,4.1,16,yes,yes
STU0012,26,female,Krakow,Data Analytics,full-time,None,94,3.4,63.2,66.3,2.3,0,no,yes
STU0013,22,other,Lodz,Management,full-time,Teams,53,3.1,29.8,42.7,2.3,14,yes,yes
STU0014,28,other,Warsaw,Economics,full-time,Google Classroom,84,13.1,80.0,74.5,4.7,8,yes,yes
STU0015,29,other,Poznan,Informatics,full-time,Teams,40,,68.8,36.3,2.8,8,no,no
STU0016,22,male,Lodz,Data Analytics,part-time,None,100,15.0,100,100,2.5,14,no,yes
STU0017,27,female,Wroclaw,Management,part-time,Google Classroom,82,1.0,42.5,55.4,4.8,2,yes,yes
STU0018,26,female,Lodz,Finance,full-time,None,97,8.2,74.4,58.5,2.4,17,yes,yes
STU0019,31,male,Gdansk,Management,full-time,Google Classroom,96,17.3,100,97.7,4.9,8,yes,yes
STU0020,29,other,Poznan,Economics,full-time,None,90,6.2,93.1,37.2,3.2,10,yes,yes
STU0021,26,other,Poznan,Economics,full-time,None,52,14.6,90.3,79.5,3.7,7,yes,yes
STU0022,28,other,Warsaw,DATA ANALYTICS,full-time,None,99,18.0,100,100,4.5,12,no,yes
STU0023,25,male,Krakow,Economics,part-time,Moodle,49,17.9,81.9,89.0,4.2,21,yes,yes
STU0024,29,other,Krakow,Management,part-time,None,40,2.8,,22.8,5.0,6,yes,yes
STU0025,28,female,Wroclaw,Informatics,part-time,Teams,48,9.2,64.5,56.4,3.5,4,yes,yes
STU0026,19,male,Gdansk,Informatics,part-time,None,77,2.7,56.7,35.8,2.7,3,yes,yes
STU0027,29,male,Wroclaw,Management,part-time,Moodle,81,6.7,58.7,58.7,3.9,4,yes,yes
STU0028,24,female,Lodz,Informatics,part-time,Teams,97,13.1,84.2,69.2,2.4,13,yes,yes
STU0029,27,female,Krakow,Management,part-time,Teams,47,0.8,32.6,13.5,2.7,6,yes,no
STU0030,26,female,Lodz,Management,part-time,Google Classroom,76,17.2,92.0,88.5,3.5,14,yes,yes
STU0031,25,female,Krakow,Data Analytics,part-time,None,67,14.5,100,78.3,4.2,15,yes,yes
STU0032,21,other,Wroclaw,Informatics,full-time,None,64,11.9,82.4,71.4,2.2,22,yes,yes
STU0033,22,male,Lodz,Economics,part-time,None,77,1.4,39.9,63.9,3.6,0,yes,yes
STU0034,24,other,Warsaw,Finance,part-time,Teams,67,7.3,58.8,82.5,3.8,6,yes,yes
STU0035,22,female,Wroclaw,Economics,full-time,None,57,5.4,60.9,63.6,2.6,9,yes,yes
STU0036,25,other,Wroclaw,Informatics,part-time,None,83,14.2,80.2,100,2.9,4,no,yes
STU0037,29,female,Krakow,Economics,part-time,Moodle,65,4.8,71.6,54.0,3.9,13,yes,yes
STU0038,20,male,Lodz,Economics,full-time,None,62,15.0,82.0,,3.7,15,no,yes
STU0039,24,female,Krakow,Management,full-time,Teams,53,4.7,47.7,57.6,3.7,7,yes,yes
STU0040,25,female,Warsaw,Finance,part-time,Teams,61,7.0,43.6,77.1,4.3,8,yes,yes
STU0041,28,other,Gdansk,Management,part-time,Google Classroom,42,9.7,80.0,69.1,2.5,8,yes,yes
STU0042,27,male,Poznan,Informatics,full-time,None,93,6.2,58.6,73.5,2.5,5,yes,yes
STU0043,25,other,Wroclaw,Data Analytics,full-time,Teams,73,9.5,94.4,73.9,2.8,4,yes,yes
STU0044,19,other,Wroclaw,Data Analytics,full-time,Teams,62,0.2,33.9,43.5,3.4,1,yes,yes
STU0045,23,female,Wroclaw,Data Analytics,Full-time,Google Classroom,59,5.5,52.7,51.8,3.5,1,yes,yes
STU0046,25,male,Krakow,Data Analytics,part-time,None,81,14.9,95.4,100,5.0,7,yes,yes
STU0047,23,male,Wroclaw,Economics,part-time,Teams,86,6.2,70.7,47.4,2.9,18,no,yes
STU0048,26,female,Poznan,Finance,full-time,Moodle,72,16.3,100,96.8,2.8,15,yes,yes
STU0049,31,male,Lodz,Economics,part-time,Moodle,83,5.6,77.3,43.6,4.0,1,no,yes
STU0050,29,male,Warsaw,Management,part-time,None,74,0.5,32.0,43.5,2.6,2,yes,yes
STU0051,23,male,Wroclaw,Data Analytics,full-time,Google Classroom,50,1.5,61.1,40.6,5.0,1,yes,yes
STU0052,25,female,Lodz,Data Analytics,full-time,Google Classroom,88,12.2,80.5,91.3,,12,no,yes
STU0053,29,female,Wroclaw,Informatics,full-time,None,43,3.5,29.7,30.0,4.0,8,no,no
STU0054,31,female,Krakow,Economics,part-time,Google Classroom,44,5.7,60.2,62.1,2.6,2,no,yes
STU0055,21,female,Warsaw,Economics,full-time,Moodle,71,0.4,35.1,36.4,4.7,9,yes,no
STU0056,23,other,Wroclaw,Management,full-time,None,59,12.1,82.7,62.6,3.4,11,yes,yes
STU0057,24,male,Warsaw,Management,part-time,Teams,63,6.3,64.9,55.4,3.0,5,yes,yes
STU0058,21,other,Gdansk,Data Analytics,part-time,Google Classroom,79,4.7,52.7,43.3,4.5,1,no,no
STU0059,25,female,Lodz,Data Analytics,part time,Google Classroom,35,12.1,74.0,68.4,3.7,13,no,yes
STU0060,26,male,Poznan,Economics,part-time,Teams,49,10.2,62.9,77.2,4.1,6,yes,yes
